N,N - Dimethylformahide
cm^-1,Intensity
1227.0,2095.018310546875
1228.0,2107.959228515625
1229.0,2117.034423828125
1230.0,2120.14306640625
1231.0,2121.0908203125
1232.0,2125.62451171875
1233.0,2134.983154296875
1234.0,2144.084228515625
1235.0,2146.582763671875
1236.0,2141.551513671875
1237.0,2134.946044921875
1238.0,2134.516845703125
1239.0,2143.0478515625
1240.0,2155.991455078125
1241.0,2165.588134765625
1242.0,2167.907470703125
1243.0,2166.11865234375
1244.0,2166.2421875
1245.0,2169.78466796875
1246.0,2172.39990234375
1247.0,2171.03515625
1248.0,2170.212646484375
1249.0,2177.82080078125
1250.0,2195.005615234375
1251.0,2213.826416015625
1252.0,2225.959716796875
1253.0,2230.64111328125
1254.0,2232.54638671875
1255.0,2235.2080078125
1256.0,2239.2724609375
1257.0,2244.578125
1258.0,2250.279541015625
1259.0,2254.22314453125
1260.0,2255.720458984375
1261.0,2258.471923828125
1262.0,2267.587646484375
1263.0,2283.4814453125
1264.0,2301.002685546875
1265.0,2314.52880859375
1266.0,2321.73486328125
1267.0,2322.820556640625
1268.0,2319.3408203125
1269.0,2314.91552734375
1270.0,2314.31689453125
1271.0,2319.32958984375
1272.0,2326.23779296875
1273.0,2329.405517578125
1274.0,2327.656005859375
1275.0,2325.920166015625
1276.0,2329.993408203125
1277.0,2340.52490234375
1278.0,2353.233642578125
